iteration,graphql_times,graphql_lengths,rest_times,rest_lengths
1,1.182387113571167,945,0.9927263259887695,57927
2,0.9575531482696533,945,0.9784185886383057,57927
3,0.9558794498443604,945,0.7649996280670166,57927
4,0.9838850498199463,945,0.850811243057251,57927
5,1.0990960597991943,945,1.0249552726745605,57927
6,0.9143295288085938,945,0.87007737159729,57927
7,0.9625945091247559,945,0.870058536529541,57927
8,0.9928896427154541,945,0.8472566604614258,57927
9,1.0011210441589355,945,0.8820393085479736,57927
10,0.9055747985839844,945,0.8402431011199951,57927
